epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,189.094,0.6107,0.67305,0.95964,1.05861,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.00101,0.00101,0.00101
52,192.725,0.62661,0.47195,0.91574,0.94113,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.0009902,0.0009902,0.0009902
53,196.281,0.69409,0.52794,0.91477,0.9637,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.0009704,0.0009704,0.0009704
54,199.819,0.89398,0.4475,1.10991,1.00465,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.0009506,0.0009506,0.0009506
55,203.315,0.65924,0.6247,1.01199,1.0147,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.0009308,0.0009308,0.0009308
56,207.042,0.56004,0.95859,0.92127,0.89355,0,0.73326,1,0.9125,0.68875,0.73326,1,0.9125,0.68875,0.82404,0.26706,2.45164,1.34035,0,0.000911,0.000911,0.000911
57,210.544,0.68269,0.6072,1.00877,1.06334,0,0.73326,1,0.9125,0.68875,0.73326,1,0.9125,0.68875,0.82404,0.26706,2.45164,1.34035,0,0.0008912,0.0008912,0.0008912
58,214.151,0.77352,0.75644,1.08977,1.09828,0,0.73326,1,0.9125,0.68875,0.73326,1,0.9125,0.68875,0.82404,0.26706,2.45164,1.34035,0,0.0008714,0.0008714,0.0008714
59,217.622,0.83402,0.4887,1.59134,0.98741,0,0.73326,1,0.9125,0.68875,0.73326,1,0.9125,0.68875,0.82404,0.26706,2.45164,1.34035,0,0.0008516,0.0008516,0.0008516
60,221.167,0.56401,0.45496,0.97127,0.99307,0,0.73326,1,0.9125,0.68875,0.73326,1,0.9125,0.68875,0.82404,0.26706,2.45164,1.34035,0,0.0008318,0.0008318,0.0008318
61,224.711,0.61884,0.56413,0.94487,0.86939,0,0.73786,1,0.9125,0.67188,0.73786,1,0.9125,0.88095,0.63818,0.19441,2.12186,0.89794,0,0.000812,0.000812,0.000812
62,228.19,0.62939,0.62709,0.98788,1.02428,0,0.73786,1,0.9125,0.67188,0.73786,1,0.9125,0.88095,0.63818,0.19441,2.12186,0.89794,0,0.0007922,0.0007922,0.0007922
63,231.694,0.78642,0.98868,1.17738,1.07554,0,0.73786,1,0.9125,0.67188,0.73786,1,0.9125,0.88095,0.63818,0.19441,2.12186,0.89794,0,0.0007724,0.0007724,0.0007724
64,235.161,0.69646,0.47845,1.02912,1.03543,0,0.73786,1,0.9125,0.67188,0.73786,1,0.9125,0.88095,0.63818,0.19441,2.12186,0.89794,0,0.0007526,0.0007526,0.0007526
65,238.569,0.5378,0.38038,0.80715,0.9325,0,0.73786,1,0.9125,0.67188,0.73786,1,0.9125,0.88095,0.63818,0.19441,2.12186,0.89794,0,0.0007328,0.0007328,0.0007328
66,242.053,0.7009,0.53908,0.98552,0.93099,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.000713,0.000713,0.000713
67,245.557,0.55374,0.50723,0.851,0.91001,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.0006932,0.0006932,0.0006932
68,249.016,0.64486,0.64955,0.80048,0.89754,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.0006734,0.0006734,0.0006734
69,252.486,0.68136,0.55167,1.14758,1.07921,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.0006536,0.0006536,0.0006536
70,255.892,0.77454,1.05569,0.95075,1.02524,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.0006338,0.0006338,0.0006338
71,259.329,0.64912,0.72107,0.9464,0.99907,0,0.9315,1,0.995,0.907,0.9315,1,0.995,0.951,0.45981,0.18399,2.18661,0.72338,0,0.000614,0.000614,0.000614
72,262.747,0.61653,0.47999,0.94497,0.99401,0,0.7462,1,0.995,0.962,0.7462,1,0.995,0.995,0.41175,0.17156,1.93414,0.70105,0,0.0005942,0.0005942,0.0005942
73,266.21,0.58578,0.55186,0.81308,0.96975,0,0.7462,1,0.995,0.962,0.7462,1,0.995,0.995,0.41175,0.17156,1.93414,0.70105,0,0.0005744,0.0005744,0.0005744
74,269.743,0.59888,0.50004,0.91333,1.02054,0,0.7462,1,0.995,0.962,0.7462,1,0.995,0.995,0.41175,0.17156,1.93414,0.70105,0,0.0005546,0.0005546,0.0005546
75,273.245,0.55087,0.52093,0.84782,0.96927,0,0.7462,1,0.995,0.962,0.7462,1,0.995,0.995,0.41175,0.17156,1.93414,0.70105,0,0.0005348,0.0005348,0.0005348
